Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-01-02,11.62,,0,
2019-01-03,10.96,-0.0567986230636832,0,-0.02475667621502542
2019-01-04,11.79,0.075729927007299,0,0.0343356931888279
2019-01-07,12.46,0.056827820186599,0,0.00701043468644591
2019-01-08,12.81,0.0280898876404493,0,0.009695296290921585
2019-01-09,12.88,0.0054644808743169,0,0.0040980263439003295
2019-01-10,12.97,0.0069875776397514,0,0.004518445159692908
2019-01-11,12.73,-0.0185042405551272,0,-0.00014634296629478794
2019-01-14,12.85,0.0094265514532598,0,-0.005257562801876614
2019-01-15,13.04,0.0147859922178987,0,0.010721711756711327
2019-01-16,13.05,0.0007668711656443,0,0.002221966823736654
2019-01-17,13.32,0.0206896551724138,0,0.007591452926111408
2019-01-18,13.9,0.0435435435435436,0,0.013183052853609212
2019-01-22,13.4,-0.0359712230215827,0,-0.014157284018107563
2019-01-23,13.38,-0.0014925373134327,0,0.0022028941471379238
2019-01-24,13.5,0.0089686098654708,0,0.001375677416909804
2019-01-25,13.78,0.0207407407407407,0,0.0084887201825663
2019-01-28,13.57,-0.0152394775036284,0,-0.0078468605052614
2019-01-29,13.46,-0.0081061164333087,0,-0.001456209694195909
2019-01-30,14.01,0.0408618127786031,0,0.015549242424242493
2019-01-31,14.27,0.0185581727337615,0,0.008597377892989533
2019-02-01,14.53,0.0182200420462508,0,0.000898635405495396
2019-02-04,15.17,0.0440467997247076,0,0.006776204217207926
2019-02-05,15.52,0.0230718523401449,0,0.004708481505539597
2019-02-06,14.75,-0.0496134020618556,0,-0.002224495014062744
2019-02-07,14.2,-0.0372881355932204,0,-0.009357119061652264
2019-02-08,14.62,0.0295774647887323,0,0.0006762624489569102
2019-02-11,14.89,0.0184678522571819,0,0.0007090417596054
2019-02-12,15.3,0.0275352585627939,0,0.012890250202966858
2019-02-13,15.13,-0.011111111111111,0,0.003023976857468691
2019-02-14,15.34,0.0138797091870455,0,-0.0026516238471793185
2019-02-15,15.81,0.030638852672751,0,0.010878709851296353
2019-02-19,16.17,0.0227703984819735,0,0.0014987750396311394
2019-02-20,15.01,-0.0717377860235004,0,0.0017771318387196366
2019-02-21,15.05,0.0026648900732846,0,-0.003526412180845262
2019-02-22,19.77,0.3136212624584718,0,0.006411088047050706
2019-02-25,19.76,-0.0005058168942841,0,0.0012317960947767492
2019-02-26,19.55,-0.0106275303643724,0,-0.0007903837831845228
2019-02-27,19.5,-0.0025575447570332,0,-0.0005440423780378456
2019-02-28,19.75,0.0128205128205127,0,-0.0028255466662847617
2019-03-01,19.51,-0.0121518987341771,0,0.0068953381050032014
2019-03-04,18.94,-0.0292157867760123,0,-0.0038806002090102654
2019-03-05,19.12,0.0095036958817318,0,-0.0011314768996100177
2019-03-06,18.64,-0.0251046025104603,0,-0.0065241159285216455
2019-03-07,18.88,0.0128755364806865,0,-0.008125710368218741
2019-03-08,19.43,0.0291313559322035,0,-0.0021317385309919112
2019-03-11,20.44,0.0519814719505919,0,0.014666049353461608
2019-03-12,20.78,0.0166340508806261,0,0.0029533287823806376
2019-03-13,20.52,-0.0125120307988451,0,0.006949618845646821
2019-03-14,20.82,0.0146198830409356,0,-0.0008680432029370966
2019-03-15,20.7,-0.005763688760807,0,0.004984902865607044
2019-03-18,20.38,-0.0154589371980676,0,0.0037059607153993035
2019-03-19,20.57,0.0093228655544652,0,-0.0001306063665308388
2019-03-20,20.6,0.0014584346135149,0,-0.0029443226469249018
2019-03-21,21.36,0.036893203883495,0,0.010852515552911779
2019-03-22,20.29,-0.0500936329588015,0,-0.018974527826038257
2019-03-25,19.7,-0.0290783637259733,0,-0.0008390729493592541
2019-03-26,18.69,-0.0512690355329947,0,0.007182778484540853
2019-03-27,18.04,-0.0347779561262708,0,-0.004644380264399728
2019-03-28,18.65,0.0338137472283812,0,0.0035895443381801506
2019-03-29,19.8,0.0616621983914209,0,0.006734293751598397
2019-04-01,20.61,0.0409090909090907,0,0.01156858594411525
2019-04-02,20.68,0.0033964095099465,0,1.7438676892522764e-05
2019-04-03,20.72,0.0019342359767891,0,0.0021484075277968806
2019-04-04,19.8,-0.0444015444015443,0,0.0020846384074615365
2019-04-05,19.65,-0.0075757575757576,0,0.004636398681665099
2019-04-08,19.75,0.0050890585241731,0,0.0010474498226595852
2019-04-09,19.48,-0.0136708860759493,0,-0.0060674708281390766
2019-04-10,19.99,0.0261806981519505,0,0.0034778681120144483
2019-04-11,20.04,0.0025012506253125,0,3.808587325715429e-05
2019-04-12,20.05,0.000499001996008,0,0.006609378462220095
2019-04-15,20.22,0.0084788029925186,0,-0.0006294261903205811
2019-04-16,20.33,0.0054401582591492,0,0.000509364739569973
2019-04-17,19.88,-0.0221347761928184,0,-0.002273774879087531
2019-04-18,19.87,-0.0005030181086518,0,0.0015790653174507785
2019-04-22,21.1,0.061902365374937,0,0.001012037741434657
2019-04-23,21.07,-0.0014218009478673,0,0.008841219132246891
2019-04-24,20.78,-0.0137636449928808,0,-0.0021917864252406494
2019-04-25,21.48,0.0336862367661212,0,-0.00036894696387390624
2019-04-26,21.52,0.0018621973929235,0,0.004685305365033532
2019-04-29,22.59,0.049721189591078,0,0.0010714723049920494
2019-04-30,22.15,-0.0194776449756529,0,0.0009514004274504551
2019-05-01,22.12,-0.0013544018058689,0,-0.007502130129708795
2019-05-02,22.52,0.0180831826401446,0,-0.0021239991380873624
2019-05-03,23.2,0.0301953818827709,0,0.00963832295922562
2019-05-06,22.56,-0.0275862068965517,0,-0.004471014787957861
2019-05-07,21.76,-0.0354609929078012,0,-0.016511677868827124
2019-05-08,22.21,0.0206801470588235,0,-0.0016053813214057522
