Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-01-02,79.94,,0,
2019-01-03,75.23,-0.0589191893920439,0,-0.02475667621502542
2019-01-04,78.63,0.0451947361424962,0,0.0343356931888279
2019-01-07,79.98,0.0171690194582221,0,0.00701043468644591
2019-01-08,79.88,-0.0012503125781446,0,0.009695296290921585
2019-01-09,81.46,0.0197796695042564,0,0.0040980263439003295
2019-01-10,82.71,0.0153449545789343,0,0.004518445159692908
2019-01-11,83.45,0.0089469229839198,0,-0.00014634296629478794
2019-01-14,81.53,-0.0230077890952666,0,-0.005257562801876614
2019-01-15,82.63,0.0134919661474304,0,0.010721711756711327
2019-01-16,82.24,-0.0047198354108677,0,0.002221966823736654
2019-01-17,82.56,0.0038910505836575,0,0.007591452926111408
2019-01-18,84.15,0.0192587209302326,0,0.013183052853609212
2019-01-22,81.78,-0.0281639928698752,0,-0.014157284018107563
2019-01-23,80.82,-0.0117388114453412,0,0.0022028941471379238
2019-01-24,86.41,0.0691660480079188,0,0.001375677416909804
2019-01-25,88.37,0.0226825598889017,0,0.0084887201825663
2019-01-28,86.91,-0.0165214439289352,0,-0.0078468605052614
2019-01-29,85.78,-0.0130019560464847,0,-0.001456209694195909
2019-01-30,87.11,0.0155047796689204,0,0.015549242424242493
2019-01-31,85.87,-0.0142348754448398,0,0.008597377892989533
2019-02-01,86.98,0.0129265168277628,0,0.000898635405495396
2019-02-04,86.82,-0.0018395033340998,0,0.006776204217207926
2019-02-05,87.27,0.0051831375259157,0,0.004708481505539597
2019-02-06,90.81,0.0405637676177381,0,-0.002224495014062744
2019-02-07,88.58,-0.0245567668758948,0,-0.009357119061652264
2019-02-08,89.17,0.0066606457439601,0,0.0006762624489569102
2019-02-11,89.35,0.0020186161264998,0,0.0007090417596054
2019-02-12,90.78,0.0160044767767209,0,0.012890250202966858
2019-02-13,91.38,0.0066093853271644,0,0.003023976857468691
2019-02-14,91.23,-0.0016414970453052,0,-0.0026516238471793185
2019-02-15,91.74,0.00559026635975,0,0.010878709851296353
2019-02-19,91.5,-0.0026160889470241,0,0.0014987750396311394
2019-02-20,92.06,0.006120218579235,0,0.0017771318387196366
2019-02-21,90.95,-0.0120573538996306,0,-0.003526412180845262
2019-02-22,91.52,0.0062671797691038,0,0.006411088047050706
2019-02-25,92.27,0.0081949300699299,0,0.0012317960947767492
2019-02-26,91.49,-0.0084534518261624,0,-0.0007903837831845228
2019-02-27,90.16,-0.0145371078806426,0,-0.0005440423780378456
2019-02-28,90.22,0.0006654835847381,0,-0.0028255466662847617
2019-03-01,91.05,0.0091997339835956,0,0.0068953381050032014
2019-03-04,91.6,0.0060406370126304,0,-0.0038806002090102654
2019-03-05,90.89,-0.0077510917030566,0,-0.0011314768996100177
2019-03-06,89.91,-0.0107822642754978,0,-0.0065241159285216455
2019-03-07,89.51,-0.004448893337782,0,-0.008125710368218741
2019-03-08,89.43,-0.000893754887722,0,-0.0021317385309919112
2019-03-11,90.79,0.0152074248015208,0,0.014666049353461608
2019-03-12,90.85,0.0006608657341116,0,0.0029533287823806376
2019-03-13,91.75,0.0099064391854706,0,0.006949618845646821
2019-03-14,91.34,-0.0044686648501361,0,-0.0008680432029370966
2019-03-15,94.45,0.0340486095905407,0,0.004984902865607044
2019-03-18,93.65,-0.0084700899947061,0,0.0037059607153993035
2019-03-19,93.83,0.0019220501868659,0,-0.0001306063665308388
2019-03-20,93.5,-0.0035169988276669,0,-0.0029443226469249018
2019-03-21,95.71,0.0236363636363636,0,0.010852515552911779
2019-03-22,93.54,-0.0226726569846409,0,-0.018974527826038257
2019-03-25,91.35,-0.0234124438742785,0,-0.0008390729493592541
2019-03-26,92.39,0.0113847837985769,0,0.007182778484540853
2019-03-27,90.38,-0.0217556012555472,0,-0.004644380264399728
2019-03-28,89.47,-0.0100685992476211,0,0.0035895443381801506
2019-03-29,90.46,0.0110651615066501,0,0.006734293751598397
2019-04-01,92.66,0.024320141499005,0,0.01156858594411525
2019-04-02,94.05,0.015001079214332,0,1.7438676892522764e-05
2019-04-03,96.16,0.022434875066454,0,0.0021484075277968806
2019-04-04,96.58,0.0043677204658902,0,0.0020846384074615365
2019-04-05,96.91,0.0034168564920273,0,0.004636398681665099
