Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-01-02,19.25,,0,
2019-01-03,19.07,-0.0093506493506493,0,-0.02475667621502542
2019-01-04,19.84,0.0403775563712638,0,0.0343356931888279
2019-01-07,20.18,0.0171370967741935,0,0.00701043468644591
2019-01-08,20.19,0.0004955401387514,0,0.009695296290921585
2019-01-09,20.05,-0.0069341258048538,0,0.0040980263439003295
2019-01-10,20.74,0.0344139650872816,0,0.004518445159692908
2019-01-11,20.46,-0.013500482160077,0,-0.00014634296629478794
2019-01-14,20.26,-0.0097751710654936,0,-0.005257562801876614
2019-01-15,20.41,0.0074037512339584,0,0.010721711756711327
2019-01-16,20.86,0.0220480156785889,0,0.002221966823736654
2019-01-17,21.17,0.0148609779482262,0,0.007591452926111408
2019-01-18,20.81,-0.017005196032121,0,0.013183052853609212
2019-01-22,20.88,0.0033637674195099,0,-0.014157284018107563
2019-01-23,21.3,0.0201149425287356,0,0.0022028941471379238
2019-01-24,21.19,-0.0051643192488262,0,0.001375677416909804
2019-01-25,21.2,0.0004719207173193,0,0.0084887201825663
2019-01-28,20.99,-0.0099056603773585,0,-0.0078468605052614
2019-01-29,21.19,0.0095283468318247,0,-0.001456209694195909
2019-01-30,21.43,0.0113260972156676,0,0.015549242424242493
2019-01-31,21.6,0.0079328044797013,0,0.008597377892989533
2019-02-01,21.56,-0.0018518518518519,0,0.000898635405495396
2019-02-04,21.85,0.0134508348794064,0,0.006776204217207926
2019-02-05,21.67,-0.0082379862700229,0,0.004708481505539597
2019-02-06,21.73,0.0027688047992615,0,-0.002224495014062744
2019-02-07,21.96,0.0105844454670962,0,-0.009357119061652264
2019-02-08,22.3,0.0154826958105647,0,0.0006762624489569102
2019-02-11,22.46,0.0071748878923767,0,0.0007090417596054
2019-02-12,22.61,0.0066785396260016,0,0.012890250202966858
2019-02-13,22.47,-0.0061919504643963,0,0.003023976857468691
2019-02-14,22.63,0.0071206052514463,0,-0.0026516238471793185
2019-02-15,22.8,0.0075121520106054,0,0.010878709851296353
2019-02-19,22.87,0.0030701754385964,0,0.0014987750396311394
2019-02-20,22.91,0.0017490161783995,0,0.0017771318387196366
2019-02-21,23.02,0.0048013967699693,0,-0.003526412180845262
2019-02-22,23.13,0.0047784535186794,0,0.006411088047050706
2019-02-25,22.84,-0.0125378296584521,0,0.0012317960947767492
2019-02-26,22.6,-0.0105078809106829,0,-0.0007903837831845228
2019-02-27,22.49,-0.0048672566371682,0,-0.0005440423780378456
2019-02-28,22.4,-0.0040017785682525,0,-0.0028255466662847617
2019-03-01,22.84,0.0196428571428572,0,0.0068953381050032014
2019-03-04,21.87,-0.0424693520140104,0,-0.0038806002090102654
2019-03-05,21.92,0.002286236854138,0,-0.0011314768996100177
2019-03-06,21.7,-0.010036496350365,0,-0.0065241159285216455
2019-03-07,21.45,-0.0115207373271889,0,-0.008125710368218741
2019-03-08,21.61,0.0074592074592074,0,-0.0021317385309919112
2019-03-11,21.72,0.0050902360018509,0,0.014666049353461608
2019-03-12,22.26,0.0248618784530387,0,0.0029533287823806376
2019-03-13,22.38,0.0053908355795146,0,0.006949618845646821
2019-03-14,22.08,-0.0134048257372654,0,-0.0008680432029370966
2019-03-15,22.12,0.0018115942028986,0,0.004984902865607044
2019-03-18,22.29,0.0076853526220614,0,0.0037059607153993035
2019-03-19,22.11,-0.0080753701211305,0,-0.0001306063665308388
2019-03-20,22.12,0.0004522840343736,0,-0.0029443226469249018
2019-03-21,22.59,0.0212477396021699,0,0.010852515552911779
2019-03-22,22.45,-0.0061974324922532,0,-0.018974527826038257
2019-03-25,22.55,0.0044543429844099,0,-0.0008390729493592541
2019-03-26,22.44,-0.0048780487804878,0,0.007182778484540853
2019-03-27,22.38,-0.0026737967914439,0,-0.004644380264399728
2019-03-28,22.3,-0.003574620196604,0,0.0035895443381801506
2019-03-29,22.5,0.0089686098654708,0,0.006734293751598397
2019-04-01,22.5,0.0,0,0.01156858594411525
2019-04-02,22.75,0.011111111111111,0,1.7438676892522764e-05
2019-04-03,22.63,-0.0052747252747252,0,0.0021484075277968806
2019-04-04,22.51,-0.0053026955368977,0,0.0020846384074615365
2019-04-05,22.42,-0.0039982230119947,0,0.004636398681665099
2019-04-08,22.26,-0.007136485280999,0,0.0010474498226595852
2019-04-09,22.03,-0.0103324348607367,0,-0.0060674708281390766
2019-04-10,22.38,0.0158874262369494,0,0.0034778681120144483
2019-04-11,22.51,0.0058087578194818,0,3.808587325715429e-05
2019-04-12,22.56,0.0022212350066634,0,0.006609378462220095
2019-04-15,22.46,-0.0044326241134751,0,-0.0006294261903205811
2019-04-16,22.45,-0.0004452359750668,0,0.000509364739569973
2019-04-17,22.19,-0.0115812917594654,0,-0.002273774879087531
2019-04-18,22.48,0.0130689499774672,0,0.0015790653174507785
2019-04-22,22.64,0.0071174377224199,0,0.001012037741434657
2019-04-23,22.83,0.0083922261484097,0,0.008841219132246891
2019-04-24,22.98,0.0065703022339027,0,-0.0021917864252406494
2019-04-25,23.16,0.0078328981723236,0,-0.00036894696387390624
2019-04-26,23.35,0.0082037996545769,0,0.004685305365033532
2019-04-29,23.38,0.0012847965738755,0,0.0010714723049920494
2019-04-30,23.55,0.0072711719418308,0,0.0009514004274504551
2019-05-01,23.55,0.0,0,-0.007502130129708795
2019-05-02,23.55,0.0,0,-0.0021239991380873624
2019-05-03,23.04,-0.0216560509554141,0,0.00963832295922562
2019-05-06,22.74,-0.0130208333333333,0,-0.004471014787957861
2019-05-07,22.6,-0.0061565523306946,0,-0.016511677868827124
2019-05-08,21.77,-0.0367256637168142,0,-0.0016053813214057522
2019-05-09,21.48,-0.0133210840606338,0,-0.0030214418181440106
2019-05-10,21.46,-0.0009310986964617,0,0.0037203210344445292
2019-05-13,21.15,-0.0144454799627214,0,-0.024130630943291487
