Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-01-02,94.73,,0,
2019-01-03,93.02,-0.0180513037052676,0,-0.02475667621502542
2019-01-04,96.19,0.0340786927542464,0,0.0343356931888279
2019-01-07,96.23,0.0004158436427903,0,0.00701043468644591
2019-01-08,94.07,-0.0224462225917074,0,0.009695296290921585
2019-01-09,94.84,0.0081853938556395,0,0.0040980263439003295
2019-01-10,96.06,0.0128637705609446,0,0.004518445159692908
2019-01-11,96.58,0.0054132833645637,0,-0.00014634296629478794
2019-01-14,95.11,-0.0152205425553945,0,-0.005257562801876614
2019-01-15,96.48,0.0144043738828725,0,0.010721711756711327
2019-01-16,97.25,0.0079809286898839,0,0.002221966823736654
2019-01-17,98.38,0.0116195372750642,0,0.007591452926111408
2019-01-18,97.56,-0.0083350274446024,0,0.013183052853609212
2019-01-22,96.25,-0.0134276342763427,0,-0.014157284018107563
2019-01-23,97.05,0.0083116883116882,0,0.0022028941471379238
2019-01-24,97.47,0.0043276661514684,0,0.001375677416909804
2019-01-25,99.48,0.020621729763004,0,0.0084887201825663
2019-01-28,98.03,-0.0145757941294732,0,-0.0078468605052614
2019-01-29,97.86,-0.0017341630113231,0,-0.001456209694195909
2019-01-30,100.45,0.0264663805436338,0,0.015549242424242493
2019-01-31,101.47,0.0101543056246888,0,0.008597377892989533
2019-02-01,107.99,0.064255444959101,0,0.000898635405495396
2019-02-04,109.36,0.0126863598481341,0,0.006776204217207926
2019-02-05,109.59,0.0021031455742501,0,0.004708481505539597
2019-02-06,109.46,-0.0011862396204034,0,-0.002224495014062744
2019-02-07,109.56,0.0009135757354286,0,-0.009357119061652264
2019-02-08,111.68,0.0193501277838628,0,0.0006762624489569102
2019-02-11,113.21,0.0136998567335242,0,0.0007090417596054
2019-02-12,114.8,0.0140446956982598,0,0.012890250202966858
2019-02-13,114.44,-0.0031358885017421,0,0.003023976857468691
2019-02-14,113.45,-0.0086508213911219,0,-0.0026516238471793185
2019-02-15,114.52,0.0094314676068751,0,0.010878709851296353
2019-02-19,114.44,-0.0006985679357317,0,0.0014987750396311394
2019-02-20,114.83,0.0034078993358965,0,0.0017771318387196366
2019-02-21,114.37,-0.0040059217974396,0,-0.003526412180845262
2019-02-22,115.25,0.0076943254349917,0,0.006411088047050706
2019-02-25,114.75,-0.0043383947939262,0,0.0012317960947767492
2019-02-26,114.25,-0.0043572984749454,0,-0.0007903837831845228
2019-02-27,115.3,0.0091903719912471,0,-0.0005440423780378456
2019-02-28,114.96,-0.0029488291413704,0,-0.0028255466662847617
2019-03-01,116.15,0.0103514265831594,0,0.0068953381050032014
2019-03-04,115.25,-0.0077486009470513,0,-0.0038806002090102654
2019-03-05,114.95,-0.0026030368763557,0,-0.0011314768996100177
2019-03-06,114.14,-0.0070465419747716,0,-0.0065241159285216455
2019-03-07,112.43,-0.0149816015419659,0,-0.008125710368218741
2019-03-08,112.63,0.0017788846393309,0,-0.0021317385309919112
2019-03-11,112.45,-0.0015981532451389,0,0.014666049353461608
2019-03-12,113.62,0.0104046242774566,0,0.0029533287823806376
2019-03-13,114.04,0.0036965323006512,0,0.006949618845646821
2019-03-14,113.87,-0.0014907050157839,0,-0.0008680432029370966
2019-03-15,116.63,0.0242381663300252,0,0.004984902865607044
2019-03-18,116.07,-0.0048015090457,0,0.0037059607153993035
2019-03-19,116.44,0.0031877315413113,0,-0.0001306063665308388
2019-03-20,118.02,0.0135692201992443,0,-0.0029443226469249018
2019-03-21,120.0,0.0167768174885611,0,0.010852515552911779
2019-03-22,117.33,-0.0222499999999999,0,-0.018974527826038257
2019-03-25,117.25,-0.0006818375522031,0,-0.0008390729493592541
2019-03-26,117.55,0.0025586353944562,0,0.007182778484540853
2019-03-27,117.52,-0.0002552105487027,0,-0.004644380264399728
2019-03-28,117.81,0.0024676650782846,0,0.0035895443381801506
2019-03-29,118.5,0.0058568882098293,0,0.006734293751598397
2019-04-01,118.55,0.0004219409282699,0,0.01156858594411525
2019-04-02,118.31,-0.0020244622522141,0,1.7438676892522764e-05
2019-04-03,117.37,-0.0079452286366326,0,0.0021484075277968806
2019-04-04,117.44,0.0005964045326742,0,0.0020846384074615365
2019-04-05,118.04,0.005108991825613,0,0.004636398681665099
2019-04-08,119.48,0.0121992544900033,0,0.0010474498226595852
2019-04-09,119.39,-0.0007532641446267,0,-0.0060674708281390766
